name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Little Rattler,Steel,Sit Down,,,,0,na,Leofoo Village Theme Park,operating
Little Titans,Steel,Sit Down,,,,0,Miler Coaster,Mt. Olympus Water & Theme Park,operating
Loch Ness Monster,Steel,Sit Down,96,39,987,2,Arrow,Busch Gardens Williamsburg,operating
Log Coaster,na,Sit Down,,,,,Cavazza Diego,Gulliver's Matlock Bath,operating
Log Flume,na,Sit Down,,,,,na,Fun City,operating
Log Ride,Steel,Sit Down,,,,0,na,Ocean Beach Pleasure Park,unknown
London Loop,Steel,Sit Down,60,23,208,0,Vekoma,Global Village,operating
Longfeng Roller Coaster,na,na,,,,4,Hebei Zhongye,Chuanlord Holiday Manor,operating
Loop 2000,Steel,Sit Down,,11,365,1,Pinfari,Superland,closed definitely
Loop Corkscrew,Steel,Sit Down,,,,3,Arrow,Rocky Point Park,closed definitely
Loop Screw,Steel,Sit Down,80,30,,3,Togo,Seibuen Yuenchi,closed definitely
Loop the Loop,Steel,Sit Down,,,,0,na,Siam Park City,operating
Loop the Loop,na,Sit Down,,,,1,Meisho Amusement Machines,Rusutsu Resort,operating
Loopen,Steel,Sit Down,,,,2,Vekoma,TusenFryd,operating
Looping Coaster,Steel,Sit Down,56,15,558,1,na,Funtown Pier,closed definitely
Looping Star,Steel,Sit Down,,,,0,na,Ocean Beach Amusement Park,unknown
Looping Star,Steel,Sit Down,,11,365,1,Pinfari,Beech Bend,closed definitely
Looping Star,Steel,Sit Down,,11,365,1,Pinfari,Codona's Amusement Park,operating
Looping Star,Steel,Sit Down,75,24,592,1,Schwarzkopf,Nara Dreamland,closed definitely
Looping Star,Steel,Sit Down,75,24,592,1,Schwarzkopf,Parko Paliatso,operating
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Bobbejaanland,closed definitely
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Freizeipark Kirchhorst,closed definitely
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Luneur,operating
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Nagashima Spa Land,operating
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,OK Corral,closed definitely
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Parque de Atracciones de Madrid,closed definitely
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Playcenter São Paulo,operating
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Southport Pleasureland,closed definitely
Looping Star,Steel,Sit Down,77,25,592,1,Schwarzkopf,Vidámpark,operating
Looping Star,na,Sit Down,77,24,591,1,Schwarzkopf,Ita Center Park,operating
Looping TL 59,Steel,Sit Down,,,,1,Pinfari,Karolinelund,operating
Looping,Steel,Sit Down,,,,1,Soquet,Foire,unknown
Looping,Steel,Sit Down,,,,1,Soquet,Parc Saint Paul,closed definitely
Looping,na,Sit Down,,9,366,,Pinfari,Southport Pleasureland,operating
Los Simpson,Steel,Sit Down,,,,0,na,Holiday World Maspalomas,operating
Lost City of Gold,na,Sit Down,,,,,Soquet,Sunway Lagoon,operating
Lost Coaster of Superstition Mountain,Wooden,Sit Down,32,11,427,0,CCI,Indiana Beach,operating
Lost Gravity,Steel,Sit Down,87,32,680,2,Mack,Walibi Holland,operating
Lost Valley,na,Sit Down,,,,,Vekoma,Vinpearl Land Hội An,operating
Loup Garou,Wooden,Sit Down,80,28,1035,0,Vekoma,Walibi Belgium,operating
Lucy's Crabbie Cabbie,Steel,Sit Down,,5,,0,Miler Coaster,Carowinds,operating
Lucy's Crabbie Cabbies,Steel,Sit Down,,,,0,Miler Coaster,California's Great America,operating
Luge 4S,na,Alpine,,,720,0,Wiegand,Les Portes du Mont Blanc,operating
Luge Alpine Coaster,na,Alpine,,,795,0,Wiegand,Domaine des Planards,operating
Luge Alpine,na,Alpine,,,410,0,Wiegand,Plan Incliné,operating
Luge Dévale,na,Alpine,,,690,0,Wiegand,Risoul,operating
Luge Monty Express,Steel,Alpine,,,1400,0,Brandauer,Montgenèvre,operating
Luge d'été,Steel,Alpine,,,,0,Brandauer,La Colmiane,operating
Luge sur rail,na,Alpine,,,625,0,Wiegand,Alpe d'Huez,operating
Luge sur rail,na,Alpine,,,700,0,Wiegand,Cap Découverte,operating
Luge sur rail,na,Alpine,,,735,0,Wiegand,Markstein,operating
Luge sur rails,na,Alpine,,,755,0,Wiegand,Monts Jura,operating
Luge,na,Alpine,,,570,0,Wiegand,Normandie Luge,operating
Luge,na,Alpine,,,600,0,Wiegand,La Sambuy,operating
Luge,na,Alpine,,,680,0,Wiegand,Ile des Loisirs d'Etampes,operating
Luge,na,Alpine,35,,610,0,Wiegand,Parc d'Olhain,operating
Lynet,Steel,Sit Down,80,20,540,2,Gerstlauer,Farup Sommerland,operating
MIni Roller Coaster,na,Sit Down,,,,,na,Suoi Tien Park,operating
MM Roller Coaster,Steel,Sit Down,,,,0,na,MGM Dizzee World,operating
MP-Xpress,Steel,Inverted,80,33,689,5,Vekoma,Movie Park Germany,operating
Maceraperest,Steel,Sit Down,,,,0,Intamin,Isfanbul,operating
Mad Classic,Steel,Sit Down,,,,0,na,Thrill Valley,closed definitely
Mad Montanha,na,Sit Down,,20,600,,na,Ácqua Lokos,operating
Mad Mouse,Steel,Sit Down,,,,0,Allan Herschell Company,Quassy Amusement Park,closed definitely
Mad Mouse,Steel,Sit Down,,,,0,Fabbri,Tosselilla,operating
Mad Mouse,Steel,Sit Down,,,,0,Sansei Yusoki,Expoland,closed definitely
Mad Mouse,Steel,Sit Down,,,,0,Sansei Yusoki,Pleasure Garden,closed definitely
Mad Mouse,Steel,Sit Down,,,,0,na,Ocean Beach Amusement Park,unknown
Mad Mouse,Steel,Sit Down,,,,0,na,Tokushima Familyland,operating
Mad Mouse,Steel,Sit Down,,21,387,0,Arrow,Michigan's Adventure,operating
Mad Mouse,Steel,Sit Down,31,11,343,0,Sansei Yusoki,Fuji-Q Highland,operating
Mad Mouse,na,Sit Down,,,,,na,Rusutsu Resort,operating
Mad Mouse,na,Sit Down,49,15,383,,Arrow,Valleyfair,operating
Mad Mouse,na,Spinning,,,,,Fabbri,M&D Scotland's Theme Park,operating
Madagascar Mad Pursuit,Steel,Sit Down,83,22,680,0,Gerstlauer,Motiongate,operating
Magic Carpet,na,Spinning,,,,,Golden Horse,Happy Valley Chengdu,operating
Magic Flyer,Steel,Sit Down,16,6,105,0,Bradley & Kaye,Six Flags Magic Mountain,operating
Magic Loop,na,Sit Down,,,,1,na,Interpark,operating
Magic Mountain,Steel,Sit Down,,,,0,S.D.C.,New Jesolandia,operating
Magic Mountain,Steel,Sit Down,,,,1,Top Fun,Magic World,closed definitely
Magic Mountain,Steel,Sit Down,68,19,540,1,Top Fun,Foire,operating
Magic Mouse,Steel,Spinning,43,11,310,0,SBF,Didiland,closed definitely
Magic Mouse,na,Spinning,47,13,420,,Reverchon,Brean Leisure Park,operating
Magic Mouse,na,Spinning,47,13,420,,Reverchon,Dreamland,operating
Magic Pomme,Steel,Sit Down,,,,0,Pinfari,Foire,unknown
Magic Pomme,Steel,Sit Down,,,,0,na,Parc de la Vallée,operating
Magic Pomme,na,Sit Down,,,,,na,Magic World,operating
Magic Ring,na,na,,,,0,Beijing Shibaolai,Chuanlord Holiday Manor,operating
Magnum Force,Steel,Sit Down,86,33,990,3,Schwarzkopf,Flamingo Land Theme Park and Zoo,closed definitely
Magnum XL 200,Steel,Sit Down,116,63,1556,0,Arrow,Cedar Point,operating
Magnus Colossus,Wooden,Sit Down,92,38,1150,0,RCCA,Terra Mítica,closed temporarily
Mako,Steel,Sit Down,,47,,0,B&M,SeaWorld San Diego,announced
Mako,Steel,Sit Down,115,61,1450,0,B&M,SeaWorld Orlando,operating
Mamba,Steel,Sit Down,120,63,1700,0,Morgan,Worlds of Fun,operating
Mammut,Steel,Sit Down,50,14,1030,0,Vekoma,Gardaland,operating
Mammut,Wooden,Sit Down,90,30,860,0,Holzbau Cordes,Tripsdrill,operating
Man-O-War,Steel,Sit Down,,30,,3,S&S,Mysterious Island,operating
Manta,Steel,Flying,97,43,1024,4,B&M,SeaWorld Orlando,operating
Manta,Steel,Sit Down,70,9,850,0,Mack,SeaWorld San Diego,operating
Mantis,Steel,Stand Up,97,44,1188,4,B&M,Cedar Point,closed definitely
Mariehønen,Steel,Sit Down,26,3,60,0,Zierer,Bakken,operating
Marienkäfer Hochbahn,Steel,Sit Down,26,3,60,0,Zierer,Churpfalzpark,operating
Marienkäferbahn,Steel,Sit Down,,,,0,Zierer,Freizeit-Land Geiselwind,operating
Marienkäferbahn,Steel,Sit Down,36,8,360,0,Zierer,Fort Fun Abenteuerland,operating
Marienkäferbahn,Steel,Sit Down,36,8,360,0,Zierer,Freizeipark Kirchhorst,closed definitely
Marienkäferbahn,Steel,Sit Down,36,8,360,0,Zierer,Zoo Safari Stukenbrock,operating
Mars,Steel,Sit Down,,,,0,SBF,Energylandia,operating
Marvel Mania,Steel,Sit Down,,,,0,E&F Miler Industries,Alabama Adventure,closed definitely
Maskerade,Steel,Spinning,40,10,236,0,Gerstlauer,Wiener Prater,operating
Master Thaï,Steel,Sit Down,,11,430,0,Preston & Barbieri,Mirabilandia,operating
Matterhorn Blitz,Steel,Sit Down,56,16,383,0,Mack,Europa Park,operating
Matterhorn Bobsleds (Left),Steel,Sit Down,43,24,621,0,Arrow,Disneyland,operating
Matterhorn Bobsleds (Right),Steel,Sit Down,43,24,650,0,Arrow,Disneyland,operating
Maverick,Steel,Sit Down,113,32,1356,2,Intamin,Cedar Point,operating
Max & Moritz (Max),Steel,Sit Down,,,,0,Mack,Efteling,announced
Max & Moritz (Moritz),Steel,Sit Down,,,,0,Mack,Efteling,announced
Max's Doggy Dog Coaster,na,Sit Down,,,,,SBF,Fantasy Island New York,operating
Maximum RPM!,Steel,Sit Down,,,,0,Premier Rides,Freestyle Music Park,closed definitely
Maximus' Blitz Bahn,Steel,Sit Down,,,,0,Wiegand,Toverland,operating
Maximus,na,Sit Down,,8,207,,Vekoma,Crealy Adventure Park,operating
Maxx Force,Steel,Sit Down,120,53,,5,S&S,Six Flags Great America,operating
Mayan Adventure,Steel,Inverted,80,33,689,5,Vekoma,Formosan Aboriginal Culture Village,operating
Mayan Mindbender,Steel,Sit Down,,9,350,0,Vekoma,Six Flags AstroWorld,closed definitely
Mean Streak,Wooden,Sit Down,100,49,1654,0,Dinn Corp.,Cedar Point,retracked
Medusa Steel Coaster,Hybrid,Sit Down,93,36,910,3,RMC,Six Flags Mexico,operating
Medusa,Steel,Floorless,105,46,1200,7,B&M,Six Flags Discovery Kingdom,operating
Medusa,Wooden,Sit Down,88,32,956,0,CCI,Six Flags Mexico,retracked
Mega Blitz,na,Sit Down,,,,,Pinfari,Coney Beach Pleasure Park,operating
Mega Coaster,Steel,Sit Down,82,,,2,Togo,Hamanako Pal Pal,operating
Mega Looping Bahn,Steel,Sit Down,65,30,,4,Vekoma,Spree-Park,closed definitely
Mega Zeph,Wooden,Sit Down,90,34,1220,0,CCI,Six Flags New Orleans,closed definitely
Mega-Lite,Steel,Sit Down,85,31,755,0,Intamin,Happy Valley Shanghai,operating
Megablitz,Steel,Sit Down,70,19,550,0,Vekoma,Wiener Prater,operating
Megafobia,Wooden,Sit Down,77,26,901,0,CCI,Oakwood,operating
Mercury's Mini Coaster,na,Sit Down,,,,,na,Twinlakes Park,operating
Merlin's Mayhem,na,Inverted,,,,,S&S,Dutch Wonderland,operating
Merlin's Revenge,na,na,,,207,0,Vekoma,Castle Park,operating
Miami Bike,Steel,Sit Down,,2,,0,na,Foire,operating
Miami,Steel,Sit Down,,,,0,Pinfari,Foire,operating
Miami,Steel,Sit Down,,,,0,na,Antibesland,closed definitely
Mick Doohan's Motocoaster,na,Motorbike,72,7,605,0,Intamin,Dreamworld,operating
Migfer,Steel,Sit Down,,,,1,SBF,Wonderland Eurasia,construction
Mighty Canadian Minebuster,Wooden,Sit Down,90,27,1167,0,Philadelphia Toboggan Coaster,Canada's Wonderland,operating
Mighty Mini Mega,Steel,Sit Down,40,902,233,0,Pinfari,Adventure Island,operating
Mighty Mouse,Steel,Sit Down,,,,0,Miler Coaster,Playland's Castaway Cove,closed definitely
Mighty Mouse,Steel,Sit Down,,,,0,na,Funtown Pier,closed definitely
Mild Thing,Steel,Sit Down,,,,0,Allan Herschell Company,Valleyfair,closed definitely
Milky Way (Blue),Steel,Stand Up,,38,800,0,Togo,Greenland,operating
Milky Way (Pink),Steel,Stand Up,,38,800,0,Togo,Greenland,operating
Millennium Force,Steel,Sit Down,150,94,2010,0,Intamin,Cedar Point,operating
Millennium Roller Coaster,Steel,Sit Down,96,46,,3,Vekoma,Fantasy Island Ingoldmells,operating
Mina,Steel,Sit Down,,3,85,0,Zamperla,Parque de Atracciones de Zaragoza,operating
Mind Bender,Steel,Sit Down,81,25,992,2,Schwarzkopf,Six Flags Over Georgia,operating
Mind Eraser,Steel,Inverted,80,33,689,5,Vekoma,Six Flags America,operating
Mind Eraser,Steel,Inverted,80,34,689,5,Vekoma,Darien Lake,operating
Mind Eraser,Steel,Inverted,80,34,689,5,Vekoma,Elitch Gardens,operating
MindBender,Steel,Sit Down,97,44,1280,3,Schwarzkopf,Galaxyland Amusement Park,operating
Mine Adventure,na,Sit Down,,,,,Vekoma,Vinpearl Land Nha Trang,operating
Mine Blower,Wooden,Sit Down,78,25,698,1,Gravity Group,Fun Spot Kissimmee,operating
Mine Car,na,Sit Down,,,,,Golden Horse,Sun Tzu Cultural Park,operating
Mine Coaster,Steel,Sit Down,,,,0,Beijing Shibaolai,Beijing Shijingshan Amusement Park,closed definitely
Mine Coaster,Steel,Sit Down,,10,366,0,Beijing Shibaolai,Sun Park,operating
Mine Coaster,Steel,Sit Down,48,14,785,0,Vekoma,Happy Valley Shenzhen,operating
Mine Coaster,na,Sit Down,,,,,Beijing Jiuhua,Quancheng Euro Park,operating
Mine Express,Steel,Sit Down,46,13,335,0,Vekoma,Lihpao Land,operating
Mine Expressen,Steel,Sit Down,46,13,335,0,Vekoma,Farup Sommerland,operating
Mine Roller Coaster,na,Sit Down,,,,0,Golden Horse,Great Xingdong Tourist World,construction
Mine Train Coaster,Steel,Sit Down,65,19,,0,Intamin,Happy Valley Shanghai,operating
Mine Train Coaster,na,Sit Down,,,,,Golden Horse,Happy Valley Chongqing,operating
Mine Train Coaster,na,Sit Down,,,335,,Vekoma,Dragon Park Ha Long,operating
Mine Train Ulven,Steel,Sit Down,65,19,,0,Intamin,Bakken,operating
Mine Train,Steel,Sit Down,,,,0,Zamperla,Leolandia,operating
Mine Train,Steel,Sit Down,,,,0,Zamperla,PowerPark,operating
Mine Train,Steel,Sit Down,,15,750,0,Golden Horse,Colourful Yunnan Happy World,operating
Mine Train,Steel,Sit Down,13,46,305,0,Vekoma,Attractiepark Slagharen,operating
Mine Train,Steel,na,,,,0,Beijing Shibaolai,Water Park,operating
Mine Train,na,Sit Down,,,,,Beijing Shibaolai,Hot Go Park,operating
Mine Train,na,Sit Down,,,,,E&F Miler Industries,Sonoma TrainTown Railroad,operating
Miner Mike,Steel,Sit Down,,,,0,Wisdom Rides,Adventuredome,operating
Miner Mike,Steel,Sit Down,,,,0,Wisdom Rides,Cherokee Fun Park,operating
Mini 8,na,Sit Down,,,,,SBF,Hannibal Park,operating
Mini Apple,na,Sit Down,,,,,Pinfari,Alton Towers,closed definitely
Mini Coaster,Steel,Sit Down,,,,0,Okamoto,Expoland,closed definitely
Mini Coaster,Steel,Sit Down,,,,0,na,Hamanako Pal Pal,operating
Mini Coaster,na,Sit Down,30,9,175,,Zamperla,Happy Valley Tianjin,operating
Mini Express,Steel,Sit Down,,,,0,Zamperla,Calaway Park,operating
Mini Grand Huit,Steel,Sit Down,,,,0,Soquet,Parc de la Toison d'Or,closed definitely
Mini Lynet,Steel,Sit Down,,,,0,CAM Baby Kart,Farup Sommerland,closed definitely
Mini Mine Rush,na,Sit Down,,,,,Zamperla,American Adventure Theme Park,closed definitely
Mini Mine Train,Steel,Sit Down,,,,0,Vekoma,Pleasure Island,operating
Mini Mine Train,Steel,Sit Down,,,85,0,Vekoma,Window on China Theme Park,operating
Mini Mine Train,Steel,Sit Down,,6,277,0,Arrow,Six flags Over Texas,operating
Mini Montanha Happy Mountain,na,Sit Down,,,,,Abc rides,Parque Mutirama,operating
Mini Montaña,na,Sit Down,,4,80,,Zamperla,VulQano Park,operating
Mini Mouse Cartoon,Steel,Sit Down,10,3,90,0,Zamperla,Parc Saint Paul,operating
Mini Mouse,Steel,Sit Down,,,,0,B. A. Schiff & Associates,Steel Pier,operating
Mini-Jet Family Coaster,na,na,,,,0,na,Haichang Ocean Park,operating
Miniera d'Oro,Steel,Sit Down,,,,0,Pinfari,Fiabilandia,operating
Mining Racer Coaster,na,Sit Down,,,,,SBF,Gumbuya World,operating
Miniwah,Steel,Sit Down,,,264,0,Mack,Freizeitpark Plohn,operating
Mirage Rosso,Steel,Inverted,47,17,360,0,Fabbri,Zoosafari Fasanolandia,operating
Miralooping,Steel,Sit Down,65,30,,4,Vekoma,Mirapolis,closed definitely
Misket Coaster,na,Sit Down,,,,,na,Wonderland Eurasia,operating
Missile,na,Sit Down,,35,253,,Vekoma,American Adventure Theme Park,closed definitely
Mission Ferrari,Steel,Sit Down,72,,531,0,Dynamic Attractions,Ferrari World,construction
Mission Kepler,Steel,Spinning,,12,,0,Intamin,Futuroscope,construction
Molines Sensation,Steel,Alpine,,,605,0,Wiegand,Molines-en-Queyras,operating
Moncayo,Steel,Sit Down,,,,0,Schwarzkopf,Parque de Atracciones de Zaragoza,operating
Monkey Coaster,Steel,Sit Down,,9,400,0,Senyo Kogyo,Japan Monkey Park,operating
Monster,Steel,Sit Down,105,41,762,5,Gerstlauer,Adventureland,operating
Monstre (Blue),Wooden,Sit Down,96,39,1218,0,William J. Cobb,La Ronde,operating
Monstre (Red),Wooden,Sit Down,,,,0,William J. Cobb,La Ronde,operating
Montagne Russe,Steel,Sit Down,,,,0,na,Zoosafari Fasanolandia,operating
Montagne Russe,na,Sit Down,,,,,Interpark,Crazy Park,operating
Montagne du Dragon,Steel,Sit Down,,,,0,Cavazza Diego,Bal Parc,operating
Montanha Russa de Ãgua,Steel,Water Coaster,69,23,740,0,Mack,Aquashow,operating
Montanha Russa,Steel,Sit Down,,,,0,Vekoma,Fantasy Place,closed definitely
Montanha Russa,Steel,Sit Down,,11,220,0,Vekoma,Funcenter,closed definitely
Montanha Russa,na,Sit Down,,,,,Pinfari,Park Trombini,operating
Montanha Russa,na,Sit Down,,,,,Pinfari,Walter World,operating
Montanha da Leba,na,Sit Down,,,,3,na,Ulengo Center Glakeni,operating
Montanha do Moco,na,Sit Down,,,,,na,Ulengo Center Glakeni,operating
Montaña Dragón,na,Sit Down,,,,,Zamperla,Fantasilandia,operating
Montaña Happy,na,Sit Down,,,,,na,Mampato,operating
Montaña Rusa Infantil,Steel,Sit Down,,,,0,na,Tivoli World,operating
Montaña Rusa Infantil,na,Sit Down,,,,,na,Diverland,operating
Montaña Rusa,Steel,Sit Down,,,,0,Beijing Shibaolai,Parque Bicentenario,operating
Montaña Rusa,Steel,Sit Down,,,,0,na,Tivoli World,operating
Montaña Rusa,Steel,Sit Down,,9,,0,na,Tibidabo,closed definitely
Montaña Rusa,Wooden,Sit Down,85,34,1219,0,National Amusement Devices,La Feria Chapultepec Magico,operating
Montaña Rusa,na,Sit Down,,,,,na,Chicolandia,operating
Montaña Rusa,na,Sit Down,,,,4,Vekoma,Diverland,operating
Montaña Rusa,na,Sit Down,,11,366,1,Pinfari,VulQano Park,operating
Montaña Rusa,na,Sit Down,,21,380,2,Arrow,Salitre Magico,operating
Montaña Rusa,na,Sit Down,68,17,787,,Schwarzkopf,Parque del Café,operating
Montaña Suiza,Steel,Sit Down,50,,400,0,na,Parque de Atracciones Monte Igueldo,operating
Montañita Rusa Minera,na,Sit Down,,,,,Molina & Son's,Chicolandia,operating
Montañita Rusa,na,Sit Down,,,,,Interpark,Mundo Aventura,operating
Monte Aurora,Steel,Sit Down,,,,0,Zamperla,Terra Encantada,closed definitely
Monte Carlo Racetrack,na,Sit Down,,,,,Golden Horse,Happy Valley Wuhan,operating
Monte Makaya,Steel,Sit Down,80,37,800,8,Intamin,Terra Encantada,closed definitely
Montezooma's Revenge,Steel,Sit Down,89,45,244,1,Schwarzkopf,Knott's Berry Farm,operating
Montezum,Wooden,Sit Down,103,42,1030,0,Philadelphia Toboggan Coaster,Hopi Hari,operating
Montu,Steel,Inverted,96,46,1214,7,B&M,Busch Gardens Tampa,operating
Moonsault Scramble,Steel,Sit Down,,75,,4,Meisho Amusement Machines,Fuji-Q Highland,closed definitely
Morgawr,na,Sit Down,,,,,na,Camel Creek Adventure Park,operating
Moselbob,na,Alpine,,,1075,0,Wiegand,Freizeitsee Triolago,operating
Moto Bala,Steel,Motorbike,65,13,364,0,Zamperla,Mundo Petapa,operating
Moto Coaster,Steel,Motorbike,,,,0,Zamperla,Jin Jiang Action Park,operating
Moto Coaster,Steel,Motorbike,61,13,365,0,Zamperla,Darien Lake,operating
MotoGee,Steel,Motorbike,68,,,0,Zamperla,Särkänniemi Amusement Park,operating
Motor Coaster,na,Motorbike,,,,,Beijing Jiuhua,Quancheng Euro Park,operating
Motor Coaster,na,Motorbike,,,,,Golden Horse,Great Xingdong Tourist World,operating
Motor Rider,na,Motorbike,,,,,Golden Horse,Lewa Adventure,operating
Motorbike Coaster,Steel,Motorbike,80,,590,0,Vekoma,Chimelong Paradise,operating
Motorbike Roller Coaster,na,Motorbike,72,14,597,,Vekoma,Happy World (Nanjing),operating
Mount Mara,Steel,Sit Down,50,26,720,0,Vekoma,Bobbejaanland,operating
Mount Rocky Coaster,Steel,Sit Down,74,35,868,0,na,Tobu Zoo Park,closed definitely
Mountain Coaster,na,Sit Down,,,,,Meisho Amusement Machines,Rusutsu Resort,operating
Mountain Luge,na,Alpine,,,670,0,Wiegand,Parc de loisirs du Hautacam,operating
Mountain Twister,na,Alpine,,,770,0,Wiegand,Les Saisies,operating
Mouse Coaster,Steel,Sit Down,50,18,450,0,na,Foire,operating
Mouse Coaster,na,Sit Down,,,,0,na,Luna Park La Palmyre,operating
Mouse trap,Steel,Spinning,47,13,420,0,Reverchon,Pleasurewood Hills,closed definitely
Mr Freeze Reverse Blast,Steel,Sit Down,113,66,396,1,Premier Rides,Six flags Over Texas,operating
Mr. Freeze Reverse Blast,Steel,Sit Down,113,66,396,1,Premier Rides,Six Flags St Louis,operating
Multi inversion Coaster,na,Sit Down,80,37,800,8,Intamin,Mirabilandia Paulista,announced
Mumbai Express,Steel,Spinning,,,,0,SBF,Global Village,operating
Mumbo Jumbo,Steel,Sit Down,,30,,2,S&S,Flamingo Land Theme Park and Zoo,operating
Munich Autobahn,Steel,Bobsleigh,,,,0,Mack,Kobe Portopialand,closed definitely
Muntanya Russa,Steel,Sit Down,80,25,740,0,Vekoma,Tibidabo,operating
Muskrat Scrambler,Steel,Sit Down,40,12,263,0,L&T Systems,Six Flags New Orleans,closed definitely
Mystery Mine,Steel,Sit Down,74,35,552,2,Gerstlauer,Dollywood,operating
Mystic Timbers,Wooden,Sit Down,85,33,995,0,GCI,Kings Island,operating
Mystic,Steel,Sit Down,85,31,575,3,Gerstlauer,Walibi Rhône Alpes,operating
Märchen Coaster,Steel,Sit Down,,,,0,Hoei Sangyo,Onokoro,closed definitely
Mælkevejen,Steel,Sit Down,,,,0,Mack,Tivoli Gardens,announced
N/A,Steel,Sit Down,0,0,0,0,na,Shaoxing Jinghu Theme Park,announced
N/A,na,Sit Down,0,0,0,0,Golden Horse,Happy Valley Nanjing,announced
N/A,na,Sit Down,0,0,0,0,na,20th Century Fox World,announced
Naga Bay,Steel,Spinning,55,17,430,0,Maurer,Bobbejaanland,operating
Nefeskesen,Steel,Sit Down,110,50,,2,Intamin,Isfanbul,operating
Nemesis Inferno,Steel,Inverted,77,29,750,4,B&M,Thorpe Park,operating
Nemesis,Steel,Inverted,81,13,716,4,B&M,Alton Towers,operating
Neo's Twister,na,Spinning,,10,420,0,Fabbri,PowerPark,operating
Nessi,Steel,Sit Down,,,,0,na,Ffrith Beach Fun Parc,closed definitely
Nessi,Steel,Sit Down,,,,0,na,Ocean Beach Amusement Park,unknown
Nessi,na,Sit Down,,,,,Cavazza Diego,Coney Beach Pleasure Park,operating
Nessi,na,Sit Down,,,,,Cavazza Diego,Family Fun Fair,operating
Nessie Superrollercoaster,Steel,Sit Down,79,26,741,1,Schwarzkopf,Hansa Park,operating
Nessie,Steel,Sit Down,,,,0,na,Luneur,operating
New Beast,Steel,Sit Down,71,,872,0,Schwarzkopf,Alton Towers,closed definitely
New Mexico Rattler,Wooden,Sit Down,76,24,838,0,CCI,Cliff's Amusement Park,operating
New Revolution,Steel,Sit Down,89,34,1054,1,Schwarzkopf,Six Flags Magic Mountain,operating
New Texas Giant,Hybrid,Sit Down,105,47,1280,0,RMC,Six flags Over Texas,operating
New Wild Mouse,Steel,Sit Down,,,,0,Hopkins,Misaki Park,operating
Nickelodeon Streak,Wooden,Sit Down,60,19,700,0,Charles Paige,Blackpool Pleasure Beach,operating
Night Rescue,na,Sit Down,,,,,Golden Horse,Oriental Heritage Jinan,operating
Night Rescue,na,Sit Down,,,,,Golden Horse,Oriental Heritage Ningbo,operating
Nighthawk,Steel,Flying,82,35,843,5,Vekoma,Carowinds,operating
Nightmare Mine,Steel,Sit Down,,,,0,S.D.C.,Frontier City,closed definitely
Nightmare at Crack Axle Canyon,Wooden,Sit Down,50,14,538,0,Schwarzkopf,Great Escape,closed definitely
Ninja,Steel,Sit Down,88,33,741,4,Vekoma,Six Flags St Louis,operating
Ninja,Steel,Suspended,88,18,825,0,Arrow,Six Flags Magic Mountain,operating
Nio,Steel,Inverted,80,33,689,5,Vekoma,Greenland,operating
Nitro,Steel,Sit Down,128,70,1644,0,B&M,Six Flags Great Adventure,operating
Nitro,Steel,Sit Down,50,10,460,0,Preston & Barbieri,Dennlys Parc,operating
Nitro,na,Floorless,105,40,854,5,B&M,Adlabs Imagica,operating
Noisette Express,Steel,Sit Down,,,220,0,ART Engineering,Nigloland,announced
Non Renseigné,na,Sit Down,0,0,0,0,SBF,Parc de la Récréation,announced
Non Renseigné,na,Sit Down,0,0,600,0,na,Parc de la Récréation,announced
Noël (Clesse),na,Sit Down,,,,0,na,Foire,operating
Nyckelpigan,Steel,Sit Down,26,3,60,0,Zierer,Gröna Lund,operating
OCT Thrust SSC1000,na,Sit Down,137,60,,,S&S,Happy Valley Wuhan,operating
Oachkatzl,Steel,Sit Down,46,11,290,0,Gerstlauer,Märchenwald im Isartal,operating
Oasis Express,Steel,Sit Down,,,,0,Schwarzkopf,Entertainment City,operating
Oblivion,Steel,Sit Down,110,20,372,0,B&M,Alton Towers,operating
Oblivion: The Black Hole,Steel,Floorless,100,43,566,2,B&M,Gardaland,operating
Ocean Coaster,na,Sit Down,,,,,na,Harbour Park,operating
Octonauts Rollercoaster Adventure,Steel,Sit Down,,7,143,0,Zamperla,Alton Towers,operating
Odin Ekspressen,Steel,Sit Down,60,,300,0,Mack,Tivoli Gardens,closed definitely
Oki Doki,Steel,Sit Down,58,16,436,0,Vekoma,Bobbejaanland,operating
Olandese Volante,Steel,Sit Down,48,14,681,0,Vekoma,Rainbow MagicLand,operating
Olympia looping,Steel,Sit Down,80,38,1250,5,Schwarzkopf,Foire,operating
Opa,Steel,Sit Down,47,13,,0,Zamperla,Mt. Olympus Water & Theme Park,closed definitely
Orange Streak,Steel,Sit Down,48,18,817,0,Zierer,Nickelodeon Universe,operating
Orca Ride,Steel,Sit Down,,12,,0,Zierer,Boudewijn Seapark,operating
