name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Bombora,Steel,Sit Down,50,14,320,,ART Engineering,Lagoon,operating
Boogie-woogie Space Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Space World,closed definitely
Boomerang Coast to Coaster,Steel,Sit Down,76,36,267,3,Vekoma,Darien Lake,operating
Boomerang Coast to Coaster,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Discovery Kingdom,operating
Boomerang,Steel,Sit Down,60,20,185,0,Vekoma,Parc des Combes,operating
Boomerang,Steel,Sit Down,60,23,208,0,Vekoma,Energylandia,operating
Boomerang,Steel,Sit Down,75,35,285,3,Vekoma,Parque de la Costa,operating
Boomerang,Steel,Sit Down,75,36,267,3,Vekoma,Six Flags St Louis,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Bellewaerde,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Elitch Gardens,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Freizeit-Land Geiselwind,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Karolinelund,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Knott's Berry Farm,closed definitely
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,La Ronde,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Playcenter São Paulo,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Pleasure Island,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Siam Park City,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Fiesta Texas,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Mexico,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Walibi Sud Ouest,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Wiener Prater,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Wild Adventures,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Worlds of Fun,operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Zygo park,closed definitely
Boomerang,na,Sit Down,,,,3,Vekoma,Geroland,operating
Boomerang,na,Sit Down,76,35,285,,Vekoma,Fantasilandia,operating
Booster Bike,Steel,Motorbike,75,15,600,0,Vekoma,Toverland,operating
Boulder Dash,Wooden,Sit Down,97,35,1440,0,CCI,Lake Compounce,operating
Boule et Bill Déboulent,Steel,Spinning,20,4,58,0,Preston & Barbieri,Parc Spirou,operating
Boulet de Canon,Steel,Spinning,,,,,Reverchon,Kid parc,operating
Broca,Steel,Sit Down,66,17,787,0,Schwarzkopf,Parque Nacional Del Café,unknown
Broken Rail Coaster,na,Sit Down,,,,,Golden Horse,Great Xingdong Tourist World,operating
Bront'O'Ring,Steel,Sit Down,,2,,0,DAL,Movieland Park,operating
Bruco Mela,Steel,Sit Down,,,,0,na,Europark Idroscalo,operating
Bruco Mela,Steel,Sit Down,,,,0,na,Foire,operating
Bruco Mela,Steel,Sit Down,,,,0,na,Foire,operating
Bruco Mela,Steel,Sit Down,,,,0,na,New Jesolandia,operating
Bruco Mela,Steel,Sit Down,,4,120,0,Fabbri,Safari Park,operating
Bruco Miniottovolante,Steel,Sit Down,22,4,120,0,D.P.V. Rides,Zoosafari Fasanolandia,operating
Brucomela,Steel,Sit Down,,,,0,Pinfari,Luneur,operating
Brucomela,na,Sit Down,,,,,na,Park Trombini,operating
Buffalo Mountain Coaster,Steel,Sit Down,,,,0,Zamperla,Drayton Manor,operating
Buffalo Ride,na,Sit Down,,,,,Zamperla,American Adventure Theme Park,closed definitely
Buffalo Stampede,na,Sit Down,,,,,Zamperla,Twinlakes Park,operating
Bug Out,Steel,Sit Down,45,15,370,0,Maurer,Wild Adventures,operating
Bug Run Kiddie Rollercoaster,na,Sit Down,,,,0,D.P.V. Rides,Aussie World,operating
Bug Whirled,na,Spinning,,,,,SBF,Playland,operating
Bugs & Bees,Steel,Sit Down,,,138,0,Pinfari,Foire,operating
Bullet Coaster,na,Sit Down,134,60,,,S&S,Happy Valley Shenzhen,operating
Bullet,Steel,Sit Down,81,40,,1,Schwarzkopf,Flamingo Land Theme Park and Zoo,closed definitely
Bumble Blast,Steel,Sit Down,,,,0,Gosetto,Calaway Park,operating
Bumerang,Steel,Sit Down,,6,,0,Heege Freizeittechnik,Familienfreizeitpark Funny-World,operating
Buschwhacker,na,Sit Down,4,13,1769,,Vekoma,Ratanga Junction,operating
Bush Beast,Wooden,Sit Down,90,28,,0,Philadelphia Toboggan Coaster,Wonderland Sydney,closed definitely
Buzz Coaster,na,Sit Down,,,,,Zierer,Mikie Holiday Funland,operating
Buzzsaw,Steel,Sit Down,105,46,150,2,Maurer,Dreamworld,operating
Bûche dansante,Steel,Spinning,,,,0,SBF,Babyland-Amiland,operating
Cagliostro,Steel,Spinning,58,17,430,0,Maurer,Rainbow MagicLand,operating
Calamity Mine,Steel,Sit Down,48,14,785,0,Vekoma,Walibi Belgium,operating
Camel Coaster,Steel,Sit Down,80,28,1200,0,Meisho Amusement Machines,Nasu Highland Park,operating
Canavar Dalga,Steel,Sit Down,70,6,515,0,Intamin,Wonderland Eurasia,construction
